step,loss,lr
903,0.591676,0.00134074
904,0.495806,0.0013378
905,0.539689,0.00133485
906,0.508706,0.0013319
907,0.760121,0.00132896
908,0.480024,0.00132602
909,0.625924,0.00132308
910,0.471150,0.00132014
911,0.468508,0.0013172
912,0.549439,0.00131427
913,0.516765,0.00131134
914,0.426270,0.0013084
915,0.548277,0.00130547
916,0.355184,0.00130255
917,0.555331,0.00129962
918,0.638659,0.00129669
919,0.515363,0.00129377
920,0.536613,0.00129085
921,0.724376,0.00128793
922,0.510882,0.00128501
923,0.418862,0.0012821
924,0.597880,0.00127918
925,0.497769,0.00127627
926,0.480120,0.00127336
927,0.465641,0.00127045
928,0.495127,0.00126755
929,0.716650,0.00126464
930,0.537109,0.00126174
931,0.522550,0.00125884
932,0.498487,0.00125594
933,0.433281,0.00125305
934,0.422965,0.00125015
935,0.396797,0.00124726
936,0.405823,0.00124437
937,0.534185,0.00124148
938,0.638443,0.00123859
939,0.521794,0.00123571
940,0.434712,0.00123283
941,0.543874,0.00122995
942,0.489937,0.00122707
943,0.461815,0.00122419
944,0.475230,0.00122132
945,0.458784,0.00121845
946,0.402232,0.00121558
947,0.454559,0.00121271
948,0.418262,0.00120985
949,0.731665,0.00120698
950,0.651537,0.00120412
951,0.527794,0.00120126
952,0.369710,0.00119841
953,0.376554,0.00119556
954,0.542419,0.0011927
955,0.432225,0.00118985
956,0.546490,0.00118701
957,0.485871,0.00118416
958,0.411643,0.00118132
959,0.483238,0.00117848
960,0.511988,0.00117564
961,0.495700,0.00117281
962,0.336330,0.00116998
963,0.428300,0.00116715
964,0.495748,0.00116432
965,0.491732,0.00116149
966,0.356615,0.00115867
967,0.476981,0.00115585
968,0.413632,0.00115303
969,0.591204,0.00115022
970,0.578735,0.0011474
971,0.362326,0.00114459
972,0.413434,0.00114179
973,0.327051,0.00113898
974,0.574021,0.00113618
975,0.434819,0.00113338
976,0.573700,0.00113058
977,0.530116,0.00112778
978,0.504462,0.00112499
979,0.443940,0.0011222
980,0.444461,0.00111942
981,0.616629,0.00111663
982,0.491311,0.00111385
983,0.463182,0.00111107
984,0.414505,0.0011083
985,0.592677,0.00110552
986,0.537448,0.00110275
987,0.390399,0.00109998
988,0.584055,0.00109722
989,0.413747,0.00109446
990,0.456576,0.0010917
991,0.420162,0.00108894
992,0.431293,0.00108619
993,0.491649,0.00108343
994,0.402472,0.00108069
995,0.371638,0.00107794
996,0.360716,0.0010752
997,0.368193,0.00107246
998,0.376768,0.00106972
999,0.441475,0.00106699
1000,0.399708,0.00106426
1001,0.508234,0.00106153
1002,0.550476,0.0010588
1003,0.425549,0.00105608
1004,0.395310,0.00105336
1005,0.400936,0.00105065
1006,0.459567,0.00104793
1007,0.599703,0.00104522
1008,0.569080,0.00104252
1009,0.417131,0.00103981
1010,0.420326,0.00103711
1011,0.309065,0.00103442
1012,0.550042,0.00103172
1013,0.429617,0.00102903
1014,0.486488,0.00102634
1015,0.545767,0.00102366
1016,0.453959,0.00102097
1017,0.425471,0.00101829
1018,0.370367,0.00101562
1019,0.398282,0.00101295
1020,0.349056,0.00101028
1021,0.488521,0.00100761
1022,0.408962,0.00100495
1023,0.390607,0.00100229
1024,0.463191,0.000999633
1025,0.415453,0.00099698
1026,0.479240,0.00099433
1027,0.547599,0.000991683
1028,0.507369,0.00098904
1029,0.348526,0.0009864
1030,0.376756,0.000983764
1031,0.512436,0.000981131
1032,0.464371,0.000978501
1033,0.716544,0.000975875
1034,0.448429,0.000973252
1035,0.400809,0.000970632
1036,0.370040,0.000968016
1037,0.421694,0.000965403
1038,0.397576,0.000962794
1039,0.386731,0.000960188
1040,0.482657,0.000957586
1041,0.391322,0.000954987
1042,0.523389,0.000952392
1043,0.402263,0.0009498
1044,0.448247,0.000947212
1045,0.626516,0.000944627
1046,0.514129,0.000942046
1047,0.509032,0.000939468
1048,0.387309,0.000936894
1049,0.441329,0.000934324
1050,0.500427,0.000931757
1051,0.407852,0.000929193
1052,0.377894,0.000926634
1053,0.501694,0.000924078
1054,0.371219,0.000921526
1055,0.338517,0.000918977
1056,0.466338,0.000916432
1057,0.421539,0.000913891
1058,0.338430,0.000911353
1059,0.367851,0.000908819
1060,0.463450,0.000906289
1061,0.324420,0.000903763
1062,0.331405,0.00090124
1063,0.336403,0.000898721
1064,0.538085,0.000896206
1065,0.410057,0.000893695
1066,0.330231,0.000891187
1067,0.433580,0.000888684
1068,0.475861,0.000886184
1069,0.447917,0.000883688
1070,0.404419,0.000881196
1071,0.511947,0.000878708
1072,0.476571,0.000876223
1073,0.424284,0.000873743
1074,0.321069,0.000871266
1075,0.429515,0.000868794
1076,0.421353,0.000866325
